participant_id,condition,scene_code,transition,probability
P04,RAW,PTL,L->C,0.2192982456140351
P04,RAW,PTL,L->L,0.35213032581453635
P04,RAW,PTL,L->R,0
P04,RAW,PTL,R->C,0.095238095238095233
P04,RAW,PTL,R->L,0
P04,RAW,PTL,R->R,0.047619047619047616
P04,HUD,PTR,C->C,0.87129537129537127
P04,HUD,PTR,C->L,0.012820512820512817
P04,HUD,PTR,C->R,0.11588411588411585
P04,HUD,PTR,L->C,0.083333333333333329
P04,HUD,PTR,L->L,0.083333333333333329
P04,HUD,PTR,L->R,0
P04,HUD,PTR,R->C,0.1964285714285714
P04,HUD,PTR,R->L,0
P04,HUD,PTR,R->R,0.30357142857142855
P04,RAW,PTR,C->C,0.85519781144781148
P04,RAW,PTR,C->L,0.038510101010101001
P04,RAW,PTR,C->R,0.10629208754208752
P04,RAW,PTR,L->C,0.375
P04,RAW,PTR,L->L,0.1875
P04,RAW,PTR,L->R,0.10416666666666667
P04,RAW,PTR,R->C,0.4861111111111111
P04,RAW,PTR,R->L,0.055555555555555552
P04,RAW,PTR,R->R,0.29166666666666669
P04,HUD,S,C->C,0.97100877780755834
P04,HUD,S,C->L,0.022300135501355005
P04,HUD,S,C->R,0.0066910866910866867
P04,HUD,S,L->C,0.22833333333333333
P04,HUD,S,L->L,0.07166666666666667
P04,HUD,S,L->R,0
P04,HUD,S,R->C,0.11666666666666667
P04,HUD,S,R->L,0
P04,HUD,S,R->R,0.050000000000000003
P04,RAW,S,C->C,0.92251409038066312
P04,RAW,S,C->L,0.048044840068691481
P04,RAW,S,C->R,0.029441069550645318
P04,RAW,S,L->C,0.36785009861932938
P04,RAW,S,L->L,0.13214990138067062
P04,RAW,S,L->R,0
P04,RAW,S,R->C,0.1606837606837607
P04,RAW,S,R->L,0.01282051282051282
P04,RAW,S,R->R,0.13418803418803418
P04,HUD,TL,C->C,0.70418985776128629
P04,HUD,TL,C->L,0.22438157081014223
P04,HUD,TL,C->R,0.071428571428571425
P04,HUD,TL,L->C,0.20890022675736958
P04,HUD,TL,L->L,0.79109977324263048
P04,HUD,TL,L->R,0
P04,HUD,TL,R->C,0.14285714285714285
P04,HUD,TL,R->L,0
P04,HUD,TL,R->R,0
P04,RAW,TL,C->C,0.6297464440321584
